dataset,strategy,selected_class_0,selected_class_1,selected_class_2,selected_class_3,selected_class_4,selected_class_5,selected_class_6,selected_class_7,selected_class_8,selected_class_9,selected_below_threshold,selected_above_threshold
imbalanced,entropy,100,50,90,120,110,80,70,50,80,50,470,330
imbalanced,least confident,90,40,110,110,120,80,70,60,60,60,470,330
imbalanced,margin,110,40,110,130,110,70,40,70,70,50,500,300
imbalanced,random,130,127,97,120,135,46,45,28,35,37,609,191
balanced,entropy,30,50,110,80,100,70,70,90,110,90,370,430
balanced,least confident,30,30,100,80,90,90,80,90,110,100,330,470
balanced,margin,90,40,100,80,80,90,90,60,100,70,390,410
balanced,random,86,75,78,85,71,81,84,87,76,77,395,405
